void,dirt,2,grass,tree,pole,water,sky,vehicle,object,asphalt,11,building,13,14,log,16,person,fence,dice
0.0,0.9513027,0.91166615,0.0,0.0,0.9934129,0.0,0.0,0.0,0.0,0.859361,0.0,0.0,0.88002217,0.0,0.0,0.0,0.0,0.7904985,0.97210157
0.0,0.9350669,0.8007517,0.52363634,0.0,0.78155226,0.6552931,0.0,0.0,0.0,0.0,0.0,0.0,0.8604339,0.816748,0.0,0.7259407,0.57813734,0.0,0.9160564
0.0,0.90103287,0.89211124,0.0,0.0,0.99270314,0.0,0.0,0.0,0.0,0.7466504,0.0,0.0,0.8093036,0.0,0.0,0.0,0.70662403,0.8431333,0.9525747
0.0,0.8944907,0.9267626,0.0,0.91258633,0.9334213,0.0,0.0,0.92001575,0.0,0.0,0.0,0.0,0.79061514,0.93933487,0.0,0.0,0.66938895,0.0,0.9530265
0.0,0.51145816,0.8871857,0.0,0.0,0.99222594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75131375,0.0,0.6832736,0.0,0.0,0.0,0.8836957
0.0,0.93364704,0.83913195,0.0,0.0,0.79692644,0.7904447,0.0,0.0,0.0,0.0,0.0,0.0,0.84778565,0.69036484,0.0,0.74151164,0.5555509,0.0,0.92547005
0.0,0.81203663,0.91315144,0.0,0.0,0.94235265,0.0,0.0,0.0,0.63393843,0.0,0.0,0.396041,0.584686,0.0,0.0,0.0,0.5357416,0.0,0.9010269
0.0,0.96834093,0.9231294,0.0,0.0,0.9817218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86657774,0.0,0.0,0.0,0.7158842,0.0,0.976454
0.0,0.9677322,0.8631456,0.62944984,0.0,0.9846861,0.7924877,0.7793074,0.52333724,0.6760475,0.0,0.0,0.0,0.8697546,0.92254144,0.8449934,0.0,0.0,0.0,0.9752496
0.0,0.93984187,0.5237969,0.2769608,0.0,0.85306907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8681831,0.5472973,0.5488814,0.0,0.0,0.0,0.9257361
0.0,0.933253,0.8622479,0.0,0.0,0.9568062,0.0,0.0,0.0,0.84231377,0.0,0.0,0.3871241,0.4374663,0.0,0.0,0.0,0.5357221,0.0,0.9294401
0.0,0.9709778,0.92545515,0.0,0.0,0.98213404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8738323,0.0,0.0,0.0,0.5593421,0.0,0.9764197
0.0,0.935973,0.7166733,0.0,0.0,0.87108284,0.0,0.0,0.0,0.8114187,0.0,0.0,0.6471022,0.56494534,0.0,0.0,0.0,0.65572125,0.0,0.88921267
0.0,0.85794425,0.8826783,0.0,0.0,0.98774904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8628726,0.0,0.9596599,0.0,0.64235234,0.0,0.9502335
0.0,0.86945033,0.80109245,0.0,0.0,0.97611946,0.6035794,0.7445166,0.0,0.78088427,0.0,0.0,0.5575955,0.77850574,0.0,0.0,0.0,0.6799495,0.0,0.9262574
