void,dirt,2,grass,tree,pole,water,sky,vehicle,object,asphalt,11,building,13,14,log,16,person,fence,dice
0.0,0.900356,0.9448512,0.0,0.0,0.98862606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9240941,0.0,0.0,0.0,0.51497424,0.0,0.95567185
0.0,0.98238367,0.56891555,0.0,0.0,0.95494044,0.43118942,0.29594138,0.0,0.1179966,0.0,0.0,0.0,0.9099331,0.91779447,0.7181203,0.0,0.0,0.0,0.9696471
0.0,0.7412959,0.91026616,0.0,0.0,0.084673546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19310814,0.0,0.0,0.0,0.54672015,0.0,0.84269357
0.0,0.78272784,0.8020535,0.0,0.0,0.9723749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77259356,0.72953993,0.0,0.7048744,0.84602696,0.0,0.9214935
0.0,0.89313537,0.8909226,0.0,0.0,0.9899491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8996569,0.0,0.96775156,0.0,0.7283531,0.0,0.9621467
0.0,0.9485554,0.93497103,0.0,0.0,0.9503022,0.0,0.0,0.0,0.23096305,0.0,0.0,0.03183391,0.87284887,0.0,0.0,0.0,0.6261901,0.0,0.9650564
0.0,0.9887234,0.8845383,0.0,0.0,0.9579182,0.20966749,0.0,0.0,0.0,0.0,0.0,0.0,0.9149815,0.0,0.0,0.0,0.0,0.0,0.974543
0.0,0.8997485,0.91157466,0.0,0.0,0.9899183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90152806,0.0,0.96594375,0.0,0.8204049,0.0,0.9673042
0.0,0.9047484,0.90567565,0.0,0.0,0.93904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8340418,0.67332447,0.0,0.43327683,0.8324448,0.0,0.94321746
0.0,0.93938416,0.92209274,0.0,0.0,0.9936902,0.0,0.0,0.0,0.0,0.5622604,0.0,0.0,0.8838879,0.0,0.0,0.0,0.0,0.8430804,0.97239715
0.0,0.9104978,0.93811774,0.0,0.0,0.9932563,0.0,0.0,0.0,0.0,0.0,0.8693712,0.0,0.8639244,0.0,0.0,0.0,0.56844413,0.8386387,0.9642465
0.0,0.89736205,0.9454222,0.0,0.0,0.9497446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686527,0.0,0.0,0.7524635,0.44879064,0.0,0.9594523
0.0,0.9429847,0.7634935,0.0,0.0,0.92040265,0.0,0.0,0.0,0.67485,0.0,0.0,0.0,0.251575,0.0,0.0,0.0,0.43228146,0.0,0.8803924
0.0,0.9861586,0.8197144,0.0,0.0,0.98349947,0.34360465,0.0,0.0,0.054809842,0.0,0.0,0.0,0.9531008,0.9353715,0.55633086,0.0,0.0,0.0,0.9857847
0.0,0.933444,0.90270656,0.0,0.0,0.9141865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8956638,0.01040989,0.0,0.5471947,0.843069,0.0,0.9499297
0.0,0.90083647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9517911,0.0,0.0,0.0,0.0,0.0,0.96646136
0.0,0.9228413,0.92654467,0.0,0.0,0.9619921,0.0,0.0,0.0,0.6841093,0.0,0.0,0.0,0.66873145,0.0,0.0,0.0,0.64721525,0.0,0.95521224
0.0,0.9774199,0.8965384,0.0,0.0,0.8837915,0.48525023,0.0,0.0,0.0,0.0,0.0,0.0,0.9078629,0.0,0.0,0.26689446,0.43928233,0.0,0.9600178
0.0,0.981798,0.8800057,0.0,0.0,0.9552236,0.003186163,0.0,0.0,0.0,0.0,0.0,0.0,0.88207865,0.0,0.0,0.0,0.0,0.0,0.96899086
0.0,0.850631,0.7389107,0.0,0.0,0.9651244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82475114,0.743535,0.5485121,0.0,0.83090734,0.0,0.9385603
0.0,0.8684569,0.89228386,0.0,0.0,0.9527203,0.0,0.0,0.0,0.5373725,0.0,0.0,0.0,0.68443006,0.0,0.0,0.0,0.43664205,0.0,0.91751695
0.0,0.958801,0.9282756,0.0,0.0,0.9932779,0.0,0.0,0.0,0.0,0.82058835,0.0,0.0,0.8543971,0.0,0.0,0.0,0.17527904,0.8168761,0.97331643
0.0,0.8012732,0.92528003,0.0,0.0,0.99351484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9025899,0.0,0.9449788,0.0,0.0,0.0,0.96777517
0.0,0.8651117,0.78687215,0.0,0.0,0.97734857,0.021554168,0.5588034,0.0,0.0,0.0,0.0,0.002349624,0.7646317,0.0,0.0,0.0,0.673419,0.0,0.93075085
0.0,0.9706619,0.45822963,0.0,0.0,0.9712481,0.496633,0.0,0.0,0.0,0.0,0.0,0.0,0.94516677,0.8187103,0.686211,0.0,0.0,0.0,0.9745586
0.0,0.9812688,0.48375028,0.0,0.0,0.92646986,0.3764753,0.32718894,0.0,0.18806215,0.0,0.0,0.0,0.8846395,0.9051323,0.62303805,0.0,0.0,0.0,0.9552331
0.0,0.9202731,0.9081763,0.0,0.0,0.96272755,0.0,0.39097866,0.0,0.0,0.0,0.49453396,0.2278875,0.84560794,0.0,0.0,0.0,0.796213,0.0,0.94875175
0.0,0.86539227,0.9010146,0.0,0.0,0.9895606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8718106,0.0,0.96069944,0.0,0.66189665,0.0,0.95380944
0.0,0.5010282,0.8926599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15780742,0.0,0.0,0.39143184,0.23767056,0.0,0.7389848
0.0,0.8996271,0.9309281,0.0,0.0,0.9715875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87070847,0.0,0.0,0.0,0.86816096,0.0,0.9591732
0.0,0.9787139,0.55738735,0.0,0.0,0.9316895,0.3986889,0.21782178,0.0,0.06485539,0.0,0.0,0.0,0.9175966,0.92107034,0.6579429,0.0,0.0,0.0,0.963905
0.0,0.9808221,0.8366745,0.0,0.0,0.98619163,0.39826056,0.495977,0.0,0.0068587107,0.0,0.0,0.0,0.9187089,0.9330543,0.73442256,0.0,0.0,0.0,0.98200697
0.0,0.9811191,0.9348446,0.0,0.0,0.99275786,0.0,0.0,0.0,0.0,0.69821864,0.0,0.0,0.75911725,0.0,0.0,0.0,0.54774773,0.6801562,0.9720755
0.0,0.9480129,0.8993225,0.0,0.0,0.958528,0.49915951,0.0,0.0,0.0,0.0,0.0,0.0,0.9103448,0.834921,0.0,0.77066064,0.28873014,0.0,0.95884156
0.0,0.95238096,0.92023605,0.0,0.0,0.9184202,0.0,0.0,0.0,0.520364,0.0,0.0,0.0,0.8599445,0.0,0.0,0.0,0.65964186,0.0,0.9580287
0.0,0.9813591,0.9323737,0.0,0.0,0.98324114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8700766,0.0,0.0,0.0,0.0,0.0,0.9800447
0.0,0.8730913,0.9447563,0.0,0.0,0.99262166,0.0,0.0,0.0,0.0,0.6626011,0.0,0.0,0.8153512,0.0,0.0,0.0,0.14743623,0.7950221,0.9350538
0.0,0.72725964,0.9270783,0.0,0.0,0.9530233,0.0,0.0,0.0,0.37381193,0.0,0.0,0.0,0.6285587,0.0,0.0,0.0,0.5759567,0.0,0.8896011
0.0,0.94694555,0.9212705,0.0,0.0,0.99258024,0.0,0.0,0.0,0.0,0.5405935,0.0,0.0,0.8743715,0.0,0.0,0.0,0.3553193,0.8303249,0.96796227
0.0,0.84599507,0.7439093,0.0,0.0,0.98156196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8539815,0.7685247,0.5686557,0.0,0.910207,0.0,0.949158
0.0,0.951656,0.8930609,0.0,0.0,0.978898,0.5806923,0.0,0.0,0.0,0.0,0.0,0.0,0.8976971,0.89639574,0.0,0.0,0.5880759,0.0,0.9670091
0.0,0.98689806,0.92164916,0.0,0.0,0.97659564,0.52258724,0.0,0.0,0.0,0.0,0.0,0.0,0.8932417,0.0,0.0,0.0,0.0,0.0,0.9786992
0.0,0.9063154,0.83307344,0.0,0.0,0.98802465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87352496,0.0,0.96829253,0.0,0.7634575,0.0,0.9612478
0.0,0.85946006,0.8417826,0.0,0.0,0.9638943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970818,0.74720967,0.0,0.0,0.6462243,0.0,0.9190838
0.0,0.95017904,0.9043809,0.0,0.0,0.9742424,0.0,0.0,0.0,0.0,0.0,0.0,0.0840687,0.8495225,0.0,0.0,0.77266484,0.6314822,0.0,0.9627344
0.0,0.9040142,0.8566804,0.0,0.0,0.9793853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8711587,0.0,0.95742536,0.0,0.8125401,0.0,0.9550682
0.0,0.9620207,0.9096717,0.0,0.0,0.97136706,0.48457614,0.0,0.0,0.0,0.0,0.0,0.0,0.8882106,0.296741,0.0,0.0,0.3798638,0.0,0.96977776
0.0,0.93333095,0.92911804,0.0,0.0,0.9953667,0.0,0.0,0.0,0.0,0.5251701,0.0,0.0,0.89977044,0.0,0.0,0.0,0.0,0.8277383,0.97385067
