void,dirt,sand,grass,tree,pole,water,sky,vehicle,object,asphalt,gravel,building,mulch,rock-bed,log,bicycle,person,fence,bush,sign,rock,bridge,concrete,picnic-table,dice
0.0,0.0,0.0,0.9257296,0.92165226,0.0,0.0,0.7417939,0.0,0.0,0.0,0.0,0.0,0.9597239,0.0,0.63954306,0.0,0.0,0.0,0.6182022,0.0,0.0,0.0,0.0,0.0,0.9498256
0.0,0.0,0.0,0.67104316,0.8838474,0.0,0.0,0.8523622,0.0,0.0,0.0,0.0,0.81126416,0.92337173,0.0,0.6449337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276136
0.0,0.0,0.0,0.7776746,0.9286687,0.0,0.0,0.7356102,0.0,0.0,0.0,0.0,0.0,0.78143024,0.0,0.0,0.0,0.0,0.0,0.6700315,0.0,0.0,0.0,0.0,0.0,0.9163425
0.0,0.0,0.0,0.4770384,0.7998723,0.0,0.0,0.46339387,0.6214099,0.0,0.0,0.0,0.0,0.9776199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162579
0.0,0.0,0.0,0.9063583,0.94004875,0.0,0.0,0.4040613,0.0,0.0,0.0,0.0,0.0,0.35148352,0.0,0.28901735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9302907
0.0,0.0,0.0,0.9725626,0.95821655,0.0,0.0,0.5718418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768155
0.0,0.0,0.0,0.8310371,0.93210006,0.0,0.0,0.65184516,0.0,0.0,0.0,0.686544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14096716,0.0,0.0,0.0,0.0,0.0,0.8995613
0.0,0.0,0.0,0.9847047,0.9439075,0.0,0.0,0.94639796,0.0,0.0,0.0,0.833002,0.0,0.4918919,0.0,0.0,0.0,0.0,0.0,0.754201,0.0,0.0,0.0,0.0,0.0,0.9739905
0.0,0.0,0.0,0.99538803,0.93870556,0.30888575,0.0,0.8865203,0.0,0.0,0.0,0.0,0.922398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97535414
0.0,0.0,0.0,0.9165399,0.91794,0.0,0.0,0.99132365,0.45973155,0.0,0.0,0.17211545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71122026,0.0,0.0,0.0,0.0,0.0,0.9505444
0.0,0.0,0.0,0.8672415,0.94527435,0.0,0.0,0.7882065,0.0,0.0,0.0,0.77650297,0.0,0.9729313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95716965
