void,dirt,sand,grass,tree,pole,water,sky,vehicle,object,asphalt,gravel,building,mulch,rock-bed,log,bicycle,person,fence,bush,sign,rock,bridge,concrete,picnic-table,dice
0.0,0.0,0.0,0.6375466,0.1746647,0.0,0.0,0.9331183,0.0,0.0,0.0,0.9083505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72926533
0.0,0.0,0.0,0.9111482,0.90292835,0.0,0.0,0.0,0.0,0.0,0.0,0.45349056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8476031
0.0,0.0,0.0,0.7139359,0.9013413,0.0,0.0,0.7284559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8134989
0.0,0.0,0.0,0.7780622,0.94471157,0.0,0.0,0.85646886,0.0,0.0,0.0,0.82552695,0.0,0.45327103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8891834
0.0,0.0,0.0,0.566291,0.038187906,0.0,0.0,0.9406774,0.0,0.0,0.0,0.9863273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74186575
0.0,0.0,0.0,0.0,0.9875205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96974015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884963
0.0,0.0,0.0,0.88252324,0.94365174,0.0,0.0,0.7782798,0.0,0.0,0.0,0.10009878,0.0,0.566653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79117334
0.0,0.0,0.0,0.96368575,0.93173414,0.0,0.0,0.77489346,0.0,0.0,0.0,0.7484479,0.0,0.83496195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95531714
0.0,0.0,0.0,0.5092413,0.0020393596,0.0,0.0,0.9741726,0.0,0.0,0.0,0.9889277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77720404
0.0,0.0,0.0,0.9766278,0.90401816,0.0,0.0,0.6735244,0.0,0.0,0.0,0.881242,0.0,0.6463428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9467759
0.0,0.0,0.0,0.93612355,0.9545603,0.0,0.0,0.61785674,0.0,0.0,0.0,0.81210345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444054
0.0,0.0,0.0,0.84723175,0.637635,0.0,0.0,0.35645688,0.0,0.0,0.0,0.6786164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76682085
0.0,0.0,0.0,0.9002187,0.5344283,0.0,0.0,0.9082845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79562366
0.0,0.0,0.0,0.44857043,0.8942612,0.0,0.0,0.7968163,0.0,0.0,0.0,0.7681179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7122489
0.0,0.0,0.0,0.6504576,0.82176316,0.0,0.0,0.9853337,0.0,0.0,0.0,0.7407263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8649947
0.0,0.0,0.0,0.0,0.9811908,0.0,0.0,0.25297487,0.0,0.0,0.0,0.0,0.0,0.97404283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98680496
0.0,0.0,0.0,0.2830006,0.94910383,0.0,0.0,0.8170567,0.0,0.0,0.0,0.7490139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7470164
0.0,0.0,0.0,0.3696984,0.8843838,0.0,0.0,0.75437057,0.0,0.0,0.0,0.71473986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760362
0.0,0.0,0.0,0.2058307,0.89695686,0.0,0.0,0.36532018,0.0,0.0,0.0,0.20898877,0.0,0.8026469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86368656
0.0,0.0,0.0,0.1387932,0.7476184,0.0,0.0,0.91569495,0.0,0.0,0.0,0.12053182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45337474
0.0,0.0,0.0,0.2907586,0.61417335,0.0,0.0,0.16489361,0.0,0.0,0.0,0.3602247,0.0,0.89352995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8210042
0.0,0.0,0.0,0.917534,0.93548656,0.0,0.0,0.75077313,0.0,0.0,0.0,0.0,0.0,0.7325462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91056556
0.0,0.0,0.0,0.6017611,0.65469444,0.0,0.0,0.85888857,0.0,0.0,0.0,0.112001665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5194318
0.0,0.0,0.0,0.9381865,0.80798054,0.0,0.0,0.75623727,0.0,0.0,0.0,0.0,0.0,0.649442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88466436
0.0,0.0,0.0,0.9065418,0.0,0.0,0.0,0.63898015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55971193
0.0,0.0,0.0,0.029105732,0.4696953,0.0,0.0,0.97339433,0.0,0.0,0.0,0.2277589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43405655
0.0,0.0,0.0,0.053134356,0.91091776,0.0,0.0,0.5997654,0.0,0.0,0.0,0.0,0.0,0.4970486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88489693
0.0,0.0,0.0,0.5119032,0.9239283,0.0,0.0,0.9642901,0.0,0.0,0.0,0.8675811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8591887
0.0,0.0,0.0,0.7800997,0.92701864,0.0,0.0,0.87760425,0.0,0.0,0.0,0.20707773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86553913
0.0,0.0,0.0,0.7651317,0.043074932,0.0,0.0,0.98039806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5178277
0.0,0.0,0.0,0.63732415,0.9236531,0.0,0.0,0.9833888,0.0,0.0,0.0,0.6918699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8635544
0.0,0.0,0.0,0.0,0.9188163,0.0,0.0,0.79400885,0.0,0.0,0.0,0.636067,0.0,0.881494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9060386
0.0,0.0,0.0,0.97624016,0.9165127,0.0,0.0,0.7770277,0.0,0.0,0.0,0.50931954,0.0,0.57169175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9534963
0.0,0.0,0.0,0.80567884,0.9233954,0.0,0.0,0.54522246,0.0,0.0,0.0,0.0,0.0,0.7914668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9119239
0.0,0.0,0.0,0.86668384,0.9285201,0.0,0.0,0.8757966,0.0,0.0,0.0,0.17678174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9117944
0.0,0.0,0.0,0.97585994,0.9097527,0.0,0.0,0.7739635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95548624
0.0,0.0,0.0,0.0,0.9199606,0.0,0.0,0.6561662,0.0,0.0,0.0,0.8632672,0.0,0.92472184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93887687
0.0,0.0,0.0,0.7206617,0.92744756,0.0,0.0,0.66436464,0.0,0.0,0.0,0.47969717,0.0,0.6461115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906953
0.0,0.0,0.0,0.9639033,0.81993663,0.0,0.0,0.8770038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90541756
0.0,0.0,0.0,0.53269905,0.8788389,0.0,0.0,0.7496617,0.0,0.0,0.0,0.0,0.0,0.9590678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93092495
0.0,0.0,0.0,0.0,0.9867134,0.0,0.0,0.14016737,0.0,0.0,0.0,0.0,0.0,0.9851421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909065
0.0,0.0,0.0,0.84717053,0.8759339,0.0,0.0,0.76093775,0.0,0.0,0.0,0.97358805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9038029
0.0,0.0,0.0,0.9756337,0.9105883,0.0,0.0,0.7262504,0.0,0.0,0.0,0.64765966,0.0,0.4536095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9452088
0.0,0.0,0.0,0.97068244,0.95506805,0.0,0.0,0.8320834,0.0,0.0,0.0,0.7100436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97027487
0.0,0.0,0.0,0.91153866,0.9593169,0.0,0.0,0.7355396,0.0,0.0,0.0,0.89411235,0.0,0.89000154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586258
0.0,0.0,0.0,0.83869004,0.9047793,0.0,0.0,0.65216553,0.0,0.0,0.0,0.53570265,0.0,0.88557583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9068631
0.0,0.0,0.0,0.91240215,0.8802519,0.0,0.0,0.77237433,0.0,0.0,0.0,0.0,0.0,0.66707116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90494186
0.0,0.0,0.0,0.7353652,0.95315444,0.0,0.0,0.87224656,0.0,0.0,0.0,0.5835267,0.0,0.75318885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90958774
0.0,0.0,0.0,0.0,0.89569473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9527593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9663927
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025607576,0.0,0.0,0.0,0.0,0.0,0.00512137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00490222
0.0,0.0,0.0,0.9018577,0.9598554,0.0,0.0,0.6290502,0.0,0.0,0.0,0.880875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95546776
0.0,0.0,0.0,0.38282192,0.9379192,0.0,0.0,0.623891,0.0,0.0,0.0,0.4000414,0.0,0.9269451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93728596
0.0,0.0,0.0,0.945299,0.8974724,0.0,0.0,0.51513195,0.0,0.0,0.0,0.0,0.0,0.7911197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9277986
0.0,0.0,0.0,0.8828116,0.8870995,0.0,0.0,0.8771042,0.0,0.0,0.0,0.92985064,0.0,0.07440579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91847515
0.0,0.0,0.0,0.7775118,0.9748875,0.0,0.0,0.27789184,0.0,0.0,0.0,0.82293266,0.0,0.7491002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9250238
0.0,0.0,0.0,0.9450877,0.93791693,0.0,0.0,0.0,0.0,0.0,0.0,0.74112374,0.0,0.80540323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9450185
0.0,0.0,0.0,0.45967454,0.94337404,0.0,0.0,0.7404894,0.0,0.0,0.0,0.97254705,0.0,0.49701062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8866517
0.0,0.0,0.0,0.0,0.98033535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87362355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94852537
0.0,0.0,0.0,0.6013158,0.96275675,0.0,0.0,0.865724,0.0,0.0,0.0,0.6216777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843602
0.0,0.0,0.0,0.7027753,0.9191902,0.0,0.0,0.0019326339,0.0,0.0,0.0,0.0,0.0,0.738442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8514667
0.0,0.0,0.0,0.7205204,0.6899813,0.0,0.0,0.76094824,0.0,0.0,0.0,0.7663433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867838
0.0,0.0,0.0,0.98895305,0.9097296,0.0,0.0,0.8270198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94998413
0.0,0.0,0.0,0.8173403,0.93912125,0.0,0.0,0.79141086,0.0,0.0,0.0,0.85354936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9171353
