void,dirt,2,grass,tree,pole,water,sky,vehicle,object,asphalt,11,building,13,14,log,16,person,fence,dice
0.0,0.98355955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98398995,0.0,0.0,0.0,0.0,0.0,0.9918225
0.0,0.9822038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98519206,0.0,0.0,0.0,0.0,0.0,0.99185157
0.0,0.91730684,0.87480605,0.0,0.0,0.9930663,0.0,0.0,0.0,0.0,0.0,0.63517684,0.0,0.86536646,0.0,0.8332761,0.6321264,0.8073336,0.69214267,0.9579362
0.0,0.96974343,0.8889431,0.0,0.0,0.9868776,0.0,0.0,0.0,0.0,0.5569471,0.0,0.0,0.857544,0.0,0.0,0.0,0.58292806,0.6463411,0.96985245
0.0,0.97665685,0.35303316,0.0,0.0,0.93341154,0.35249555,0.0,0.0,0.25208175,0.0,0.0,0.0,0.8776503,0.9140821,0.4580719,0.0,0.0,0.0,0.957184
0.0,0.98398167,0.7505247,0.0,0.0,0.98255116,0.2970985,0.0,0.0,0.0045610033,0.0,0.0,0.0,0.96830773,0.9186264,0.35360068,0.0,0.0,0.0,0.98648787
0.0,0.9581686,0.9168388,0.0,0.0,0.99396414,0.0,0.0,0.0,0.0,0.6798419,0.0,0.0,0.90993536,0.0,0.0,0.0,0.0,0.859134,0.9785204
0.0,0.8204566,0.9614199,0.0,0.0,0.2990923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84023863,0.0,0.0,0.34394518,0.51580936,0.0,0.9261853
0.0,0.8856005,0.9162955,0.0,0.0,0.99212044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84811395,0.0,0.0,0.0,0.100391544,0.7944689,0.9418008
0.0,0.9075813,0.65872645,0.024597919,0.0,0.97411263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891869,0.0,0.0,0.0,0.5952069,0.0,0.96316105
0.0,0.90463793,0.8465841,0.0,0.0,0.95618135,0.0,0.59202296,0.0,0.0,0.0,0.92502075,0.16571936,0.8396301,0.0,0.0,0.8369926,0.65704674,0.0,0.94253474
0.0,0.9036634,0.944616,0.0,0.0,0.98620576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8516377,0.0,0.0,0.0,0.4336519,0.76467943,0.9420868
0.0,0.88624185,0.72968125,0.0,0.0,0.9706256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7832927,0.7421465,0.42356786,0.0,0.7557354,0.0,0.94426346
0.0,0.90122175,0.88657814,0.0,0.0,0.99329126,0.0,0.0,0.0,0.0,0.0,0.6536503,0.0,0.8559556,0.0,0.8187681,0.70756596,0.8177069,0.73011535,0.95650434
0.0,0.9728625,0.94062215,0.0,0.0,0.9924416,0.0,0.0,0.0,0.0,0.648495,0.0,0.0,0.87861764,0.0,0.0,0.0,0.0,0.7895091,0.9750859
0.0,0.9369118,0.88207054,0.0,0.0,0.99113435,0.0,0.0,0.0,0.0,0.0,0.67072827,0.0,0.83229256,0.0,0.8921096,0.8027338,0.80865586,0.54615754,0.9613624
