void,dirt,sand,grass,tree,pole,water,sky,vehicle,object,asphalt,gravel,building,mulch,rock-bed,log,bicycle,person,fence,bush,sign,rock,bridge,concrete,picnic-table,dice
0.0,0.0,0.0,0.0,0.9800824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85356545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9347622
0.0,0.0,0.0,0.78409916,0.2891193,0.0,0.0,0.7530301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61256605
0.0,0.0,0.0,0.96541214,0.8664224,0.0,0.0,0.9908302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714033
0.0,0.0,0.0,0.0491461,0.57360405,0.0,0.0,0.981222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38724366
0.0,0.0,0.0,0.0,0.89650804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9658034
0.0,0.0,0.0,0.9095437,0.8435802,0.0,0.0,0.98934424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9346485
0.0,0.0,0.0,0.82010984,0.9479436,0.0,0.0,0.79041433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8953039
0.0,0.0,0.0,0.94894975,0.9508496,0.0,0.0,0.60388404,0.0,0.0,0.0,0.8378532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94942653
0.0,0.0,0.0,0.5863978,0.9405856,0.0,0.0,0.98394626,0.0,0.0,0.0,0.83132637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8839535
0.0,0.0,0.0,0.0,0.9666856,0.0,0.0,0.35480094,0.0,0.0,0.0,0.0,0.0,0.98938805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9798414
0.0,0.0,0.0,0.89710385,0.93367904,0.0,0.0,0.46426278,0.0,0.0,0.0,0.0,0.0,0.34421158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92787
0.0,0.0,0.0,0.8097092,0.93536633,0.0,0.0,0.452636,0.0,0.0,0.0,0.9631804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94499207
0.0,0.0,0.0,0.92503667,0.951126,0.0,0.0,0.7535105,0.0,0.0,0.0,0.92644304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636839
0.0,0.0,0.0,0.96456224,0.78588635,0.0,0.0,0.81820655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8863901
0.0,0.0,0.0,0.97665054,0.94174874,0.0,0.0,0.8091202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655999
0.0,0.0,0.0,0.6825512,0.9703104,0.0,0.0,0.42876077,0.0,0.0,0.0,0.0,0.0,0.5644804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84556025
0.0,0.0,0.0,0.79753566,0.967272,0.0,0.0,0.93682563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54489166
0.0,0.0,0.0,0.3717553,0.8512292,0.0,0.0,0.6766515,0.0,0.0,0.0,0.729169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699593
0.0,0.0,0.0,0.90556914,0.95637906,0.0,0.0,0.43191198,0.0,0.0,0.0,0.0,0.0,0.94862616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9687209
0.0,0.0,0.0,0.8362964,0.93934983,0.0,0.0,0.6113652,0.0,0.0,0.0,0.5328548,0.0,0.8936413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8883007
0.0,0.0,0.0,0.29711527,0.96234185,0.0,0.0,0.48191845,0.0,0.0,0.0,0.0,0.0,0.9376393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96005285
0.0,0.0,0.0,0.86699355,0.93242806,0.0,0.0,0.7198842,0.0,0.0,0.0,0.0,0.0,0.7150729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8895666
0.0,0.0,0.0,0.80698514,0.9294058,0.0,0.0,0.84629124,0.0,0.0,0.0,0.9231498,0.0,0.5828135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.930259
0.0,0.0,0.0,0.9315292,0.9062987,0.0,0.0,0.6368022,0.0,0.0,0.0,0.9551698,0.0,0.6041247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93533295
0.0,0.0,0.0,0.8702432,0.7513172,0.0,0.0,0.7243291,0.0,0.0,0.0,0.6849333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181739
0.0,0.0,0.0,0.58719367,0.9384103,0.0,0.0,0.8410417,0.0,0.0,0.0,0.8417056,0.0,0.27074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8758536
