void,dirt,2,grass,tree,pole,water,sky,vehicle,object,asphalt,11,building,13,14,log,16,person,fence,dice
0.0,0.85142523,0.83260554,0.0,0.0,0.9673852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81151116,0.0,0.0,0.74462616,0.7802712,0.0,0.93782467
0.0,0.8013331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7986954,0.0,0.0,0.0,0.0,0.0,0.888533
0.0,0.9044508,0.9345899,0.0,0.0,0.9656281,0.0,0.0,0.0,0.6925888,0.0,0.0,0.59245783,0.45480484,0.0,0.0,0.0,0.45423943,0.0,0.935569
0.0,0.721671,0.8680598,0.0,0.0,0.9889782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83932745,0.0,0.0,0.0,0.052653916,0.67038405,0.8691519
0.0,0.43842122,0.846455,0.0,0.0,0.7547283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875693,0.0,0.0,0.0,0.64715326,0.0,0.7421866
0.0,0.8449757,0.9207274,0.0,0.0,0.9890311,0.0,0.0,0.0,0.0,0.47960138,0.0,0.0,0.8290668,0.0,0.0,0.0,0.5523145,0.8407839,0.9303772
0.0,0.9670358,0.4717693,0.6561352,0.0,0.9167013,0.723565,0.91247785,0.0,0.70153624,0.0,0.0,0.0,0.86293554,0.928494,0.79822737,0.0,0.0,0.0,0.94889843
0.0,0.85656404,0.8007833,0.30964467,0.0,0.8368071,0.6941659,0.0,0.0,0.0,0.0,0.0,0.0,0.8103974,0.79296064,0.0,0.6283415,0.4583677,0.0,0.89681077
0.0,0.9196037,0.79874706,0.0,0.0,0.92844737,0.7820401,0.0,0.0,0.74475527,0.0,0.0,0.0,0.81792134,0.91973996,0.77061343,0.0,0.0,0.0,0.94264716
0.0,0.856401,0.910521,0.0,0.0,0.6904183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58512324,0.0,0.0,0.0,0.5243444,0.0,0.9026606
0.0,0.8740448,0.7733683,0.67871964,0.0,0.9502033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84479046,0.7872948,0.0,0.0,0.6627099,0.0,0.92875606
0.0,0.7449425,0.9518029,0.0,0.0,0.95196366,0.0,0.0,0.0,0.7418282,0.0,0.0,0.63186723,0.5519396,0.0,0.0,0.0,0.55809855,0.0,0.8902899
